2017/10/12 02:42:50 Starting decoder6
2017/10/12 02:42:50 file blocksize  25
2017/10/12 05:40:20 blockbuffer value  200867255532373784442745261542645325325170978873331865120544
2017/10/12 05:42:18 blockbuffer value  200867255532373784442745261542645325325280930036109465120544
2017/10/12 05:44:16 blockbuffer value  200867255532373784442745261542645325325390881198887065120544
2017/10/12 05:46:14 blockbuffer value  200867255532373784442745261542645325325500832361664665120544
2017/10/12 05:48:11 blockbuffer value  200867255532373784442745261542645325325610783524442265120544
2017/10/12 05:50:09 blockbuffer value  200867255532373784442745261542645325325720734687219865120544
2017/10/12 05:52:08 blockbuffer value  200867255532373784442745261542645325325830685849997465120544
2017/10/12 05:54:06 blockbuffer value  200867255532373784442745261542645325325940637012775065120544
2017/10/12 05:56:03 blockbuffer value  200867255532373784442745261542645325326050588175552665120544
2017/10/12 05:58:01 blockbuffer value  200867255532373784442745261542645325326160539338330265120544
2017/10/12 05:59:59 blockbuffer value  200867255532373784442745261542645325326270490501107865120544
2017/10/12 06:01:57 blockbuffer value  200867255532373784442745261542645325326380441663885465120544
2017/10/12 06:03:56 blockbuffer value  200867255532373784442745261542645325326490392826663065120544
2017/10/12 06:05:53 blockbuffer value  200867255532373784442745261542645325326600343989440665120544
2017/10/12 06:07:52 blockbuffer value  200867255532373784442745261542645325326710295152218265120544
2017/10/12 06:09:51 blockbuffer value  200867255532373784442745261542645325326820246314995865120544
2017/10/12 06:11:49 blockbuffer value  200867255532373784442745261542645325326930197477773465120544
2017/10/12 06:13:48 blockbuffer value  200867255532373784442745261542645325327040148640551065120544
2017/10/12 06:15:46 blockbuffer value  200867255532373784442745261542645325327150099803328665120544
2017/10/12 06:17:44 blockbuffer value  200867255532373784442745261542645325327260050966106265120544
2017/10/12 06:19:41 blockbuffer value  200867255532373784442745261542645325327370002128883865120544
2017/10/12 06:21:39 blockbuffer value  200867255532373784442745261542645325327479953291661465120544
2017/10/12 06:23:38 blockbuffer value  200867255532373784442745261542645325327589904454439065120544
2017/10/12 06:25:36 blockbuffer value  200867255532373784442745261542645325327699855617216665120544
2017/10/12 06:27:34 blockbuffer value  200867255532373784442745261542645325327809806779994265120544
2017/10/12 06:29:32 blockbuffer value  200867255532373784442745261542645325327919757942771865120544
2017/10/12 06:31:30 blockbuffer value  200867255532373784442745261542645325328029709105549465120544
